ShipmentID,CustomerName,OriginPort,DestinationPort,Carrier,BookingDate,ETD,ETA,ATD,ATA,PlannedTransitDays,ActualTransitDays,DelayDays,DelayReason,ShipmentStatus,Priority
SHP1030,Gulf Imports,Qingdao,Jebel Ali,COSCO,2024-05-03,2024-05-06,2024-05-23,2024-05-07,2024-05-29,17,22,5,Port Congestion,Delayed,Medium
SHP1031,Gulf Imports,Shenzhen,Jebel Ali,Maersk,2024-04-26,2024-04-29,2024-05-17,2024-04-30,2024-05-20,18,20,2,Weather,Delayed,Low
SHP1032,Al Noor Trading,Busan,Abu Dhabi,Hapag Lloyd,2024-05-18,2024-05-21,2024-06-04,2024-05-22,2024-06-09,14,18,4,Port Congestion,Delayed,Low
SHP1033,Al Noor Trading,Busan,Jebel Ali,ONE,2024-02-10,2024-02-13,2024-02-27,2024-02-13,2024-03-01,14,17,3,Weather,Delayed,High
SHP1034,Emirates Retail,Shanghai,Jebel Ali,COSCO,2024-04-13,2024-04-16,2024-05-01,2024-04-16,2024-05-04,15,18,3,Documentation Issue,Delayed,Low
SHP1035,Gulf Imports,Shenzhen,Abu Dhabi,MSC,2024-05-29,2024-06-01,2024-06-20,2024-06-01,2024-06-21,19,20,1,Customs Hold,Delayed,Low
SHP1036,Al Noor Trading,Qingdao,Jebel Ali,Maersk,2024-06-14,2024-06-17,2024-07-05,2024-06-18,2024-07-08,18,20,2,Port Congestion,Delayed,Low
SHP1037,Al Noor Trading,Ningbo,Abu Dhabi,CMA CGM,2024-02-24,2024-02-27,2024-03-16,2024-02-28,2024-03-17,18,18,0,None,On Time,High
SHP1038,Desert Mart,Singapore,Jebel Ali,MSC,2024-04-22,2024-04-25,2024-05-13,2024-04-25,2024-05-16,18,21,3,Documentation Issue,Delayed,Medium
SHP1039,Desert Mart,Busan,Jebel Ali,ONE,2024-01-30,2024-02-02,2024-02-17,2024-02-02,2024-02-21,15,19,4,Customs Hold,Delayed,Medium
SHP1040,Arabian Supplies,Shanghai,Jebel Ali,ONE,2024-02-22,2024-02-25,2024-03-14,2024-02-26,2024-03-18,18,21,3,Customs Hold,Delayed,Medium
SHP1041,Arabian Supplies,Ningbo,Abu Dhabi,MSC,2024-03-11,2024-03-14,2024-03-28,2024-03-15,2024-03-28,14,13,0,None,On Time,Low
SHP1042,Al Noor Trading,Singapore,Jebel Ali,Hapag Lloyd,2024-04-23,2024-04-26,2024-05-16,2024-04-26,2024-05-19,20,23,3,Port Congestion,Delayed,High
SHP1043,Desert Mart,Shenzhen,Jebel Ali,CMA CGM,2024-04-04,2024-04-07,2024-04-23,2024-04-07,2024-04-25,16,18,2,Port Congestion,Delayed,High
SHP1044,Arabian Supplies,Busan,Abu Dhabi,Hapag Lloyd,2024-06-23,2024-06-26,2024-07-13,2024-06-26,2024-07-17,17,21,4,Customs Hold,Delayed,Low
SHP1045,Blue Ocean LLC,Shanghai,Jebel Ali,ONE,2024-02-09,2024-02-12,2024-02-29,2024-02-12,2024-03-05,17,22,5,Weather,Delayed,Medium
SHP1046,Blue Ocean LLC,Shanghai,Abu Dhabi,MSC,2024-04-15,2024-04-18,2024-05-05,2024-04-18,2024-05-06,17,18,1,Port Congestion,Delayed,High
SHP1047,Al Noor Trading,Singapore,Jebel Ali,COSCO,2024-04-27,2024-04-30,2024-05-19,2024-04-30,2024-05-20,19,20,1,Weather,Delayed,Medium
SHP1048,Falcon Electronics,Busan,Abu Dhabi,ONE,2024-03-12,2024-03-15,2024-03-30,2024-03-16,2024-04-05,15,20,5,Customs Hold,Delayed,Low
SHP1049,Gulf Imports,Busan,Abu Dhabi,Maersk,2024-03-25,2024-03-28,2024-04-11,2024-03-29,2024-04-11,14,13,0,None,On Time,High
SHP1050,Emirates Retail,Busan,Jebel Ali,COSCO,2024-06-01,2024-06-04,2024-06-24,2024-06-05,2024-06-26,20,21,1,Vessel Rollover,Delayed,Low
SHP1051,Al Noor Trading,Busan,Jebel Ali,CMA CGM,2024-02-18,2024-02-21,2024-03-10,2024-02-22,2024-03-10,18,17,0,None,On Time,Medium
SHP1052,Falcon Electronics,Shenzhen,Abu Dhabi,ONE,2024-01-18,2024-01-21,2024-02-09,2024-01-22,2024-02-13,19,22,3,Port Congestion,Delayed,Medium
SHP1053,Gulf Imports,Ningbo,Abu Dhabi,ONE,2024-03-24,2024-03-27,2024-04-16,2024-03-28,2024-04-21,20,24,4,Documentation Issue,Delayed,Medium
SHP1054,Emirates Retail,Shanghai,Abu Dhabi,CMA CGM,2024-06-22,2024-06-25,2024-07-11,2024-06-26,2024-07-15,16,19,3,Vessel Rollover,Delayed,High
SHP1055,Falcon Electronics,Ningbo,Abu Dhabi,Evergreen,2024-04-20,2024-04-23,2024-05-12,2024-04-24,2024-05-15,19,21,2,Vessel Rollover,Delayed,Low
SHP1056,Arabian Supplies,Ningbo,Abu Dhabi,MSC,2024-02-13,2024-02-16,2024-03-02,2024-02-17,2024-03-04,15,16,1,Port Congestion,Delayed,High
SHP1057,Blue Ocean LLC,Busan,Jebel Ali,COSCO,2024-02-07,2024-02-10,2024-02-24,2024-02-10,2024-02-23,14,13,0,None,On Time,Medium
SHP1058,Blue Ocean LLC,Ningbo,Jebel Ali,ONE,2024-06-10,2024-06-13,2024-06-30,2024-06-14,2024-07-05,17,21,4,Vessel Rollover,Delayed,Low
SHP1059,Gulf Imports,Singapore,Abu Dhabi,Maersk,2024-01-02,2024-01-05,2024-01-20,2024-01-06,2024-01-26,15,20,5,Weather,Delayed,Low
SHP1060,Falcon Electronics,Busan,Abu Dhabi,Evergreen,2024-03-04,2024-03-07,2024-03-22,2024-03-07,2024-03-24,15,17,2,Vessel Rollover,Delayed,Medium
SHP1061,Falcon Electronics,Qingdao,Abu Dhabi,CMA CGM,2024-06-05,2024-06-08,2024-06-28,2024-06-09,2024-07-04,20,25,5,Weather,Delayed,High
SHP1062,Desert Mart,Qingdao,Jebel Ali,ONE,2024-06-12,2024-06-15,2024-07-03,2024-06-16,2024-07-09,18,23,5,Weather,Delayed,Medium
SHP1063,Al Noor Trading,Ningbo,Jebel Ali,MSC,2024-03-01,2024-03-04,2024-03-22,2024-03-05,2024-03-24,18,19,1,Documentation Issue,Delayed,Medium
SHP1064,Blue Ocean LLC,Qingdao,Abu Dhabi,Hapag Lloyd,2024-06-26,2024-06-29,2024-07-15,2024-06-29,2024-07-19,16,20,4,Port Congestion,Delayed,Medium
SHP1065,Blue Ocean LLC,Busan,Jebel Ali,Evergreen,2024-04-16,2024-04-19,2024-05-03,2024-04-20,2024-05-04,14,14,0,None,On Time,Low
SHP1066,Desert Mart,Qingdao,Abu Dhabi,Hapag Lloyd,2024-04-07,2024-04-10,2024-05-01,2024-04-11,2024-05-01,21,20,0,None,On Time,Low
SHP1067,Blue Ocean LLC,Qingdao,Jebel Ali,COSCO,2024-05-19,2024-05-22,2024-06-08,2024-05-22,2024-06-10,17,19,2,Customs Hold,Delayed,Medium
SHP1068,Gulf Imports,Busan,Jebel Ali,COSCO,2024-06-20,2024-06-23,2024-07-13,2024-06-23,2024-07-17,20,24,4,Vessel Rollover,Delayed,Low
SHP1069,Gulf Imports,Qingdao,Jebel Ali,Maersk,2024-05-24,2024-05-27,2024-06-10,2024-05-28,2024-06-10,14,13,0,None,On Time,Medium
SHP1070,Desert Mart,Shenzhen,Abu Dhabi,CMA CGM,2024-04-07,2024-04-10,2024-04-29,2024-04-11,2024-04-30,19,19,0,None,On Time,Medium
SHP1071,Al Noor Trading,Shenzhen,Jebel Ali,ONE,2024-03-05,2024-03-08,2024-03-23,2024-03-08,2024-03-25,15,17,2,Documentation Issue,Delayed,High
SHP1072,Gulf Imports,Shanghai,Jebel Ali,MSC,2024-06-15,2024-06-18,2024-07-02,2024-06-18,2024-07-07,14,19,5,Weather,Delayed,High
SHP1073,Falcon Electronics,Shenzhen,Abu Dhabi,MSC,2024-05-01,2024-05-04,2024-05-19,2024-05-04,2024-05-22,15,18,3,Vessel Rollover,Delayed,Low
SHP1074,Al Noor Trading,Busan,Jebel Ali,CMA CGM,2024-06-04,2024-06-07,2024-06-22,2024-06-07,2024-06-27,15,20,5,Customs Hold,Delayed,Low
SHP1075,Emirates Retail,Singapore,Jebel Ali,Maersk,2024-06-22,2024-06-25,2024-07-15,2024-06-25,2024-07-17,20,22,2,Port Congestion,Delayed,Low
SHP1076,Emirates Retail,Qingdao,Abu Dhabi,Maersk,2024-03-18,2024-03-21,2024-04-05,2024-03-21,2024-04-10,15,20,5,Customs Hold,Delayed,Low
SHP1077,Arabian Supplies,Qingdao,Jebel Ali,COSCO,2024-06-14,2024-06-17,2024-07-06,2024-06-18,2024-07-06,19,18,0,None,On Time,Medium
SHP1078,Gulf Imports,Singapore,Abu Dhabi,Hapag Lloyd,2024-06-11,2024-06-14,2024-07-05,2024-06-14,2024-07-09,21,25,4,Vessel Rollover,Delayed,Low
SHP1079,Arabian Supplies,Ningbo,Jebel Ali,CMA CGM,2024-05-03,2024-05-06,2024-05-27,2024-05-07,2024-05-30,21,23,2,Customs Hold,Delayed,Medium
SHP1080,Al Noor Trading,Qingdao,Abu Dhabi,MSC,2024-03-03,2024-03-06,2024-03-27,2024-03-07,2024-03-31,21,24,3,Customs Hold,Delayed,Medium
SHP1081,Desert Mart,Busan,Abu Dhabi,Hapag Lloyd,2024-02-24,2024-02-27,2024-03-17,2024-02-28,2024-03-23,19,24,5,Customs Hold,Delayed,High
SHP1082,Falcon Electronics,Qingdao,Abu Dhabi,Hapag Lloyd,2024-05-12,2024-05-15,2024-06-01,2024-05-15,2024-05-31,17,16,0,None,On Time,High
SHP1083,Arabian Supplies,Shanghai,Jebel Ali,CMA CGM,2024-06-25,2024-06-28,2024-07-19,2024-06-29,2024-07-24,21,25,4,Vessel Rollover,Delayed,High
SHP1084,Emirates Retail,Busan,Abu Dhabi,COSCO,2024-04-13,2024-04-16,2024-05-03,2024-04-17,2024-05-05,17,18,1,Vessel Rollover,Delayed,Low
SHP1085,Desert Mart,Shenzhen,Jebel Ali,Maersk,2024-05-20,2024-05-23,2024-06-11,2024-05-24,2024-06-13,19,20,1,Customs Hold,Delayed,Low
SHP1086,Gulf Imports,Ningbo,Abu Dhabi,CMA CGM,2024-02-19,2024-02-22,2024-03-12,2024-02-22,2024-03-11,19,18,0,None,On Time,Low
SHP1087,Desert Mart,Ningbo,Abu Dhabi,MSC,2024-05-30,2024-06-02,2024-06-20,2024-06-02,2024-06-19,18,17,0,None,On Time,Medium
SHP1088,Emirates Retail,Shenzhen,Jebel Ali,ONE,2024-01-04,2024-01-07,2024-01-23,2024-01-07,2024-01-24,16,17,1,Port Congestion,Delayed,Medium
SHP1089,Blue Ocean LLC,Qingdao,Abu Dhabi,MSC,2024-01-27,2024-01-30,2024-02-13,2024-01-31,2024-02-17,14,17,3,Vessel Rollover,Delayed,High
SHP1090,Blue Ocean LLC,Qingdao,Jebel Ali,Hapag Lloyd,2024-03-05,2024-03-08,2024-03-29,2024-03-08,2024-03-28,21,20,0,None,On Time,Low
SHP1091,Arabian Supplies,Busan,Abu Dhabi,Maersk,2024-06-24,2024-06-27,2024-07-11,2024-06-27,2024-07-11,14,14,0,None,On Time,High
SHP1092,Blue Ocean LLC,Qingdao,Abu Dhabi,CMA CGM,2024-01-31,2024-02-03,2024-02-23,2024-02-03,2024-02-26,20,23,3,Documentation Issue,Delayed,Low
SHP1093,Falcon Electronics,Shanghai,Jebel Ali,ONE,2024-04-19,2024-04-22,2024-05-10,2024-04-22,2024-05-13,18,21,3,Documentation Issue,Delayed,High
SHP1094,Gulf Imports,Busan,Jebel Ali,MSC,2024-03-08,2024-03-11,2024-03-26,2024-03-11,2024-03-26,15,15,0,None,On Time,High
SHP1095,Al Noor Trading,Ningbo,Abu Dhabi,ONE,2024-04-14,2024-04-17,2024-05-08,2024-04-18,2024-05-13,21,25,4,Customs Hold,Delayed,Medium
SHP1096,Desert Mart,Singapore,Jebel Ali,COSCO,2024-06-28,2024-07-01,2024-07-22,2024-07-01,2024-07-21,21,20,0,None,On Time,High
SHP1097,Arabian Supplies,Ningbo,Jebel Ali,Maersk,2024-05-19,2024-05-22,2024-06-08,2024-05-22,2024-06-12,17,21,4,Customs Hold,Delayed,High
SHP1098,Falcon Electronics,Shenzhen,Abu Dhabi,CMA CGM,2024-03-19,2024-03-22,2024-04-09,2024-03-22,2024-04-11,18,20,2,Vessel Rollover,Delayed,Low
SHP1099,Al Noor Trading,Qingdao,Abu Dhabi,Hapag Lloyd,2024-05-18,2024-05-21,2024-06-11,2024-05-21,2024-06-13,21,23,2,Documentation Issue,Delayed,Medium
SHP1100,Arabian Supplies,Singapore,Abu Dhabi,Hapag Lloyd,2024-01-07,2024-01-10,2024-01-25,2024-01-10,2024-01-25,15,15,0,None,On Time,High
SHP1101,Gulf Imports,Busan,Abu Dhabi,ONE,2024-02-14,2024-02-17,2024-03-09,2024-02-18,2024-03-13,21,24,3,Customs Hold,Delayed,Medium
SHP1102,Desert Mart,Singapore,Jebel Ali,Evergreen,2024-01-24,2024-01-27,2024-02-17,2024-01-28,2024-02-19,21,22,1,Customs Hold,Delayed,High
SHP1103,Falcon Electronics,Qingdao,Jebel Ali,COSCO,2024-03-25,2024-03-28,2024-04-17,2024-03-29,2024-04-22,20,24,4,Customs Hold,Delayed,High
SHP1104,Arabian Supplies,Busan,Jebel Ali,ONE,2024-03-21,2024-03-24,2024-04-11,2024-03-24,2024-04-12,18,19,1,Vessel Rollover,Delayed,Low
SHP1105,Emirates Retail,Shenzhen,Abu Dhabi,ONE,2024-04-28,2024-05-01,2024-05-21,2024-05-01,2024-05-20,20,19,0,None,On Time,Medium
SHP1106,Blue Ocean LLC,Singapore,Abu Dhabi,Maersk,2024-01-14,2024-01-17,2024-02-03,2024-01-17,2024-02-04,17,18,1,Customs Hold,Delayed,High
SHP1107,Emirates Retail,Shanghai,Abu Dhabi,Maersk,2024-06-10,2024-06-13,2024-06-30,2024-06-13,2024-07-04,17,21,4,Customs Hold,Delayed,High
SHP1108,Blue Ocean LLC,Singapore,Abu Dhabi,Hapag Lloyd,2024-01-30,2024-02-02,2024-02-23,2024-02-02,2024-02-22,21,20,0,None,On Time,Low
SHP1109,Gulf Imports,Qingdao,Jebel Ali,COSCO,2024-03-10,2024-03-13,2024-04-02,2024-03-14,2024-04-08,20,25,5,Vessel Rollover,Delayed,High
SHP1110,Arabian Supplies,Qingdao,Abu Dhabi,Evergreen,2024-06-02,2024-06-05,2024-06-21,2024-06-05,2024-06-26,16,21,5,Customs Hold,Delayed,Low
SHP1111,Emirates Retail,Singapore,Abu Dhabi,Evergreen,2024-03-09,2024-03-12,2024-03-26,2024-03-13,2024-03-28,14,15,1,Documentation Issue,Delayed,High
SHP1112,Arabian Supplies,Busan,Abu Dhabi,COSCO,2024-04-24,2024-04-27,2024-05-18,2024-04-28,2024-05-20,21,22,1,Documentation Issue,Delayed,Medium
SHP1113,Arabian Supplies,Qingdao,Jebel Ali,CMA CGM,2024-02-18,2024-02-21,2024-03-09,2024-02-22,2024-03-13,17,20,3,Weather,Delayed,Low
SHP1114,Al Noor Trading,Ningbo,Abu Dhabi,Evergreen,2024-05-01,2024-05-04,2024-05-24,2024-05-04,2024-05-26,20,22,2,Vessel Rollover,Delayed,High
SHP1115,Falcon Electronics,Ningbo,Abu Dhabi,Evergreen,2024-04-22,2024-04-25,2024-05-10,2024-04-26,2024-05-14,15,18,3,Port Congestion,Delayed,Low
SHP1116,Emirates Retail,Singapore,Abu Dhabi,ONE,2024-02-09,2024-02-12,2024-02-27,2024-02-13,2024-03-01,15,17,2,Customs Hold,Delayed,High
SHP1117,Al Noor Trading,Busan,Jebel Ali,MSC,2024-03-25,2024-03-28,2024-04-17,2024-03-29,2024-04-19,20,21,1,Documentation Issue,Delayed,Low
SHP1118,Blue Ocean LLC,Shanghai,Jebel Ali,COSCO,2024-06-24,2024-06-27,2024-07-15,2024-06-27,2024-07-15,18,18,0,None,On Time,High
SHP1119,Desert Mart,Shanghai,Abu Dhabi,CMA CGM,2024-06-26,2024-06-29,2024-07-17,2024-06-29,2024-07-16,18,17,0,None,On Time,Medium
SHP1120,Emirates Retail,Singapore,Jebel Ali,MSC,2024-04-20,2024-04-23,2024-05-09,2024-04-24,2024-05-10,16,16,0,None,On Time,High
SHP1121,Emirates Retail,Ningbo,Jebel Ali,COSCO,2024-01-21,2024-01-24,2024-02-13,2024-01-24,2024-02-16,20,23,3,Vessel Rollover,Delayed,Low
SHP1122,Desert Mart,Singapore,Jebel Ali,Maersk,2024-03-06,2024-03-09,2024-03-30,2024-03-09,2024-03-31,21,22,1,Vessel Rollover,Delayed,Medium
SHP1123,Blue Ocean LLC,Shenzhen,Jebel Ali,COSCO,2024-03-29,2024-04-01,2024-04-19,2024-04-02,2024-04-24,18,22,4,Customs Hold,Delayed,Medium
SHP1124,Desert Mart,Singapore,Abu Dhabi,Maersk,2024-01-28,2024-01-31,2024-02-17,2024-02-01,2024-02-20,17,19,2,Documentation Issue,Delayed,Low
SHP1125,Emirates Retail,Singapore,Abu Dhabi,Evergreen,2024-04-11,2024-04-14,2024-05-02,2024-04-14,2024-05-01,18,17,0,None,On Time,Medium
SHP1126,Emirates Retail,Shenzhen,Jebel Ali,ONE,2024-02-28,2024-03-02,2024-03-21,2024-03-02,2024-03-21,19,19,0,None,On Time,High
SHP1127,Emirates Retail,Shenzhen,Jebel Ali,Maersk,2024-06-09,2024-06-12,2024-06-26,2024-06-13,2024-06-28,14,15,1,Port Congestion,Delayed,Medium
SHP1128,Gulf Imports,Busan,Abu Dhabi,Hapag Lloyd,2024-03-24,2024-03-27,2024-04-16,2024-03-27,2024-04-16,20,20,0,None,On Time,Low
SHP1129,Falcon Electronics,Shenzhen,Jebel Ali,COSCO,2024-03-10,2024-03-13,2024-03-29,2024-03-14,2024-03-31,16,17,1,Customs Hold,Delayed,High
SHP1130,Desert Mart,Shanghai,Abu Dhabi,Maersk,2024-02-06,2024-02-09,2024-02-26,2024-02-10,2024-03-03,17,22,5,Documentation Issue,Delayed,Medium
SHP1131,Emirates Retail,Qingdao,Abu Dhabi,Maersk,2024-05-17,2024-05-20,2024-06-04,2024-05-21,2024-06-07,15,17,2,Customs Hold,Delayed,Low
SHP1132,Emirates Retail,Ningbo,Jebel Ali,ONE,2024-02-29,2024-03-03,2024-03-24,2024-03-04,2024-03-24,21,20,0,None,On Time,Medium
SHP1133,Gulf Imports,Shanghai,Jebel Ali,CMA CGM,2024-06-28,2024-07-01,2024-07-19,2024-07-02,2024-07-24,18,22,4,Port Congestion,Delayed,Medium
SHP1134,Blue Ocean LLC,Qingdao,Abu Dhabi,ONE,2024-01-30,2024-02-02,2024-02-17,2024-02-02,2024-02-17,15,15,0,None,On Time,Low
SHP1135,Falcon Electronics,Shanghai,Abu Dhabi,Hapag Lloyd,2024-06-27,2024-06-30,2024-07-20,2024-06-30,2024-07-23,20,23,3,Vessel Rollover,Delayed,Medium
SHP1136,Blue Ocean LLC,Qingdao,Jebel Ali,Evergreen,2024-03-12,2024-03-15,2024-03-29,2024-03-16,2024-04-03,14,18,4,Weather,Delayed,Medium
SHP1137,Blue Ocean LLC,Shenzhen,Jebel Ali,Maersk,2024-01-26,2024-01-29,2024-02-17,2024-01-30,2024-02-21,19,22,3,Port Congestion,Delayed,Medium
SHP1138,Arabian Supplies,Shenzhen,Jebel Ali,MSC,2024-01-24,2024-01-27,2024-02-13,2024-01-27,2024-02-17,17,21,4,Port Congestion,Delayed,Low
SHP1139,Gulf Imports,Ningbo,Abu Dhabi,Evergreen,2024-02-22,2024-02-25,2024-03-11,2024-02-25,2024-03-16,15,20,5,Documentation Issue,Delayed,High
SHP1140,Emirates Retail,Shenzhen,Jebel Ali,Maersk,2024-06-01,2024-06-04,2024-06-18,2024-06-04,2024-06-19,14,15,1,Weather,Delayed,Low
SHP1141,Arabian Supplies,Ningbo,Abu Dhabi,Maersk,2024-01-07,2024-01-10,2024-01-26,2024-01-11,2024-01-26,16,15,0,None,On Time,High
SHP1142,Emirates Retail,Shanghai,Jebel Ali,COSCO,2024-03-08,2024-03-11,2024-03-25,2024-03-12,2024-03-26,14,14,0,None,On Time,Medium
SHP1143,Al Noor Trading,Singapore,Abu Dhabi,COSCO,2024-04-02,2024-04-05,2024-04-20,2024-04-05,2024-04-22,15,17,2,Documentation Issue,Delayed,Low
SHP1144,Falcon Electronics,Shanghai,Abu Dhabi,ONE,2024-01-08,2024-01-11,2024-01-25,2024-01-12,2024-01-28,14,16,2,Vessel Rollover,Delayed,Medium
SHP1145,Gulf Imports,Shenzhen,Abu Dhabi,COSCO,2024-01-19,2024-01-22,2024-02-06,2024-01-22,2024-02-07,15,16,1,Port Congestion,Delayed,Low
SHP1146,Arabian Supplies,Singapore,Jebel Ali,Evergreen,2024-05-15,2024-05-18,2024-06-05,2024-05-19,2024-06-08,18,20,2,Port Congestion,Delayed,Low
SHP1147,Blue Ocean LLC,Shenzhen,Abu Dhabi,COSCO,2024-06-15,2024-06-18,2024-07-05,2024-06-19,2024-07-08,17,19,2,Weather,Delayed,Medium
SHP1148,Desert Mart,Ningbo,Abu Dhabi,Maersk,2024-01-25,2024-01-28,2024-02-16,2024-01-29,2024-02-19,19,21,2,Customs Hold,Delayed,High
SHP1149,Arabian Supplies,Ningbo,Jebel Ali,Hapag Lloyd,2024-01-22,2024-01-25,2024-02-09,2024-01-25,2024-02-11,15,17,2,Customs Hold,Delayed,Low
SHP1150,Desert Mart,Singapore,Abu Dhabi,Evergreen,2024-05-23,2024-05-26,2024-06-14,2024-05-26,2024-06-18,19,23,4,Vessel Rollover,Delayed,Low
SHP1151,Al Noor Trading,Busan,Jebel Ali,MSC,2024-01-14,2024-01-17,2024-02-04,2024-01-18,2024-02-08,18,21,3,Customs Hold,Delayed,Low
SHP1152,Arabian Supplies,Busan,Abu Dhabi,Maersk,2024-05-03,2024-05-06,2024-05-23,2024-05-06,2024-05-28,17,22,5,Customs Hold,Delayed,Medium
SHP1153,Arabian Supplies,Busan,Jebel Ali,Hapag Lloyd,2024-05-26,2024-05-29,2024-06-15,2024-05-30,2024-06-21,17,22,5,Documentation Issue,Delayed,Low
SHP1154,Desert Mart,Singapore,Abu Dhabi,CMA CGM,2024-06-26,2024-06-29,2024-07-17,2024-06-29,2024-07-16,18,17,0,None,On Time,Medium
